Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family
Baião,1887.0,0.9666136724960255,0.033386327503974564,0.2172760996290408,0.2485426603073662,0.43243243243243246,0.04292527821939587,0.018547959724430314,0.0021197668256491787,0.013248542660307366,0.0042395336512983575,0.02066772655007949,0.9676735559088501,0.012718600953895072,0.008479067302596715,0.0047694753577106515,0.006359300476947536,0.6327503974562798,0.3672496025437202,0.26338102808691044,0.0042395336512983575,0.04398516163222046,0.033386327503974564,0.17912029676735558,0.0
Cabeceiras de Basto,1256.0,0.9713375796178344,0.028662420382165606,0.23089171974522293,0.18869426751592358,0.42436305732484075,0.08996815286624203,0.02388535031847134,0.0,0.01592356687898089,0.003980891719745223,0.022292993630573247,0.9219745222929936,0.052547770700636945,0.016719745222929936,0.004777070063694267,0.003980891719745223,0.7937898089171974,0.20621019108280256,0.18869426751592358,0.02945859872611465,0.013535031847133758,0.059713375796178345,0.1449044585987261,0.0
Castelo de Paiva,748.0,0.9866310160427807,0.013368983957219251,0.13903743315508021,0.18850267379679145,0.5147058823529411,0.09759358288770054,0.014705882352941176,0.0,0.014705882352941176,0.0,0.03074866310160428,0.93048128342246,0.04679144385026738,0.009358288770053475,0.013368983957219251,0.0,0.6938502673796791,0.30614973262032086,0.1858288770053476,0.0066844919786096255,0.017379679144385027,0.045454545454545456,0.12967914438502673,0.0
Celorico de Basto,1764.0,0.9909297052154195,0.009070294784580499,0.22845804988662133,0.21541950113378686,0.46541950113378683,0.05045351473922902,0.01417233560090703,0.0017006802721088435,0.011904761904761904,0.0022675736961451248,0.01020408163265306,0.9506802721088435,0.03231292517006803,0.007369614512471655,0.005668934240362812,0.003968253968253968,0.4331065759637188,0.5668934240362812,0.1473922902494331,0.030045351473922902,0.02040816326530612,0.046485260770975055,0.10884353741496598,0.0
Cinfães,1767.0,0.9852857951329937,0.014714204867006225,0.20316921335597057,0.25183927560837577,0.4487832484436899,0.07017543859649122,0.008488964346349746,0.0,0.00792303338992643,0.0,0.009620826259196379,0.9818902093944539,0.014148273910582909,0.001697792869269949,0.0022637238256932655,0.0,0.8285229202037352,0.17147707979626486,0.12224108658743633,0.03169213355970572,0.022637238256932653,0.022637238256932653,0.10696095076400679,0.0011318619128466328
Felgueiras,1443.0,0.9591129591129591,0.040887040887040885,0.19057519057519057,0.19750519750519752,0.4864864864864865,0.040887040887040885,0.02564102564102564,0.003465003465003465,0.020097020097020097,0.004158004158004158,0.031185031185031187,0.9182259182259183,0.03465003465003465,0.020097020097020097,0.019404019404019403,0.007623007623007623,0.6770616770616771,0.3229383229383229,0.2910602910602911,0.031185031185031187,0.060291060291060294,0.05128205128205128,0.20928620928620928,0.0
Lousada,939.0,0.9499467518636848,0.05005324813631523,0.1703940362087327,0.16080937167199147,0.5122470713525027,0.055378061767838126,0.029818956336528223,0.003194888178913738,0.022364217252396165,0.005324813631522897,0.04046858359957402,0.8572949946751863,0.06389776357827476,0.03301384451544196,0.03727369542066028,0.008519701810436636,0.6198083067092651,0.3801916932907348,0.28434504792332266,0.026624068157614485,0.059637912673056445,0.051118210862619806,0.20021299254526093,0.0
Marco de Canaveses,1746.0,0.9392898052691867,0.06071019473081329,0.22852233676975944,0.22336769759450173,0.4427262313860252,0.032073310423825885,0.01718213058419244,0.0057273768613974796,0.018327605956471937,0.005154639175257732,0.026918671248568157,0.9450171821305842,0.028064146620847653,0.008018327605956471,0.008018327605956471,0.010882016036655211,0.49942726231386025,0.5005727376861397,0.2268041237113402,0.024627720504009163,0.054982817869415807,0.030355097365406643,0.16494845360824742,0.001145475372279496
Mondim de Basto,789.0,0.9885931558935361,0.011406844106463879,0.20532319391634982,0.26996197718631176,0.4055766793409379,0.07984790874524715,0.021546261089987327,0.0038022813688212928,0.0076045627376425855,0.0012674271229404308,0.005069708491761723,0.9125475285171103,0.05449936628643853,0.012674271229404309,0.015209125475285171,0.005069708491761723,0.5804816223067174,0.41951837769328265,0.13181242078580482,0.022813688212927757,0.019011406844106463,0.02788339670468948,0.10392902408111533,0.0025348542458808617
Paços de Ferreira,601.0,0.9534109816971714,0.04658901830282862,0.1497504159733777,0.14143094841930118,0.6089850249584027,0.03494176372712146,0.019966722129783693,0.0033277870216306157,0.011647254575707155,0.0066555740432612314,0.02329450915141431,0.9234608985024958,0.029950083194675542,0.024958402662229616,0.011647254575707155,0.009983361064891847,0.8801996672212978,0.11980033277870217,0.2612312811980033,0.0066555740432612314,0.03993344425956739,0.06988352745424292,0.1497504159733777,0.008319467554076539
